FORCE/DISPLACEMENT CLAMP EXPERIMENT 
 3/20/2015 
 
 Experiment Name: 	 Default 
 Cantilever ID #: 	 Default 
 Sampling rate (Hz): 	 1000 
 Actuation Mode: 	 Open Loop 
 
 Set Point (V) 	 Actuator Value (V) 	 Piezo Signal (V) 
0.234375	0.385468	0.281342
0.221252	0.370941	0.269867
0.208405	0.356110	0.252991
0.195831	0.342194	0.245667
0.183594	0.327026	0.241211
0.171631	0.312805	0.227203
0.160004	0.299530	0.217651
0.148712	0.285004	0.209351
0.137756	0.272064	0.204254
0.127136	0.257202	0.189301
0.116913	0.244232	0.178162
0.107056	0.231598	0.171448
0.097565	0.218658	0.166046
0.088501	0.206635	0.152344
0.079803	0.195282	0.147583
0.071533	0.182953	0.132294
0.063690	0.172211	0.127502
0.056274	0.160522	0.121460
0.049286	0.149445	0.112549
0.042725	0.138397	0.107452
0.036621	0.129242	0.100128
0.030975	0.118164	0.094391
0.025787	0.109344	0.085785
0.021057	0.100494	0.076874
0.016815	0.091644	0.078796
0.013031	0.083740	0.074005
0.009735	0.075836	0.068909
0.006897	0.068573	0.062866
0.004547	0.061310	0.058105
0.002686	0.054352	0.053009
0.001312	0.048981	0.046295
0.000427	0.042358	0.051086
0.000031	0.036987	0.043121
0.000122	0.032227	0.040253
0.000702	0.027496	0.030396
0.001770	0.023712	0.027832
0.003326	0.020538	0.031647
0.005371	0.017395	0.029114
0.007874	0.014526	0.029755
0.010895	0.012329	0.022095
0.014374	0.010742	0.018921
0.018341	0.008850	0.023376
0.022766	0.008850	0.017975
0.027649	0.008545	0.025940
0.033020	0.009491	0.020203
0.038818	0.010437	0.026245
0.045074	0.012024	0.024323
0.051788	0.013275	0.021790
0.058929	0.014862	0.026550
0.066528	0.018341	0.024658
0.074524	0.021484	0.035797
0.082947	0.025604	0.029114
0.091766	0.029388	0.029419
0.100983	0.034454	0.034210
0.110596	0.039185	0.032288
0.120605	0.044250	0.041534
0.130981	0.050232	0.044708
0.141693	0.056885	0.050140
0.152771	0.063202	0.057770
0.164185	0.071106	0.064789
0.175934	0.078369	0.068909
0.187988	0.085937	0.073364
0.200378	0.094482	0.080078
0.213013	0.103638	0.086426
0.225952	0.112183	0.095337
0.239166	0.121979	0.099487
0.252625	0.132080	0.109985
0.266327	0.142822	0.112854
0.280273	0.153564	0.126556
0.294403	0.163666	0.131348
0.308746	0.175354	0.137390
0.323303	0.187042	0.148224
0.338013	0.199371	0.157135
0.352875	0.211395	0.157135
0.367889	0.224670	0.162231
0.383026	0.237915	0.179749
0.398254	0.250580	0.187378
0.413605	0.263519	0.193756
0.429047	0.278381	0.204254
0.444550	0.291016	0.205231
0.460114	0.305542	0.226868
0.475708	0.319763	0.233887
0.491333	0.333984	0.250122
0.506958	0.348816	0.254272
0.522583	0.363037	0.266998
0.538177	0.377899	0.275909
0.553741	0.392761	0.283569
0.569244	0.407593	0.297241
0.584686	0.422455	0.305206
0.600067	0.437927	0.312866
0.615326	0.453735	0.321442
0.630463	0.468262	0.335480
0.645477	0.483429	0.345337
0.660370	0.499237	0.353943
0.675079	0.515015	0.371124
0.689636	0.530182	0.379730
0.704010	0.545990	0.389282
0.718170	0.561157	0.402344
0.732117	0.576965	0.411255
0.745850	0.591187	0.419525
0.759338	0.606659	0.424316
0.772583	0.620880	0.440552
0.785553	0.636353	0.453308
0.798218	0.650269	0.465393
0.810608	0.664490	0.473663
0.822723	0.679016	0.478455
0.834503	0.692902	0.489594
0.845947	0.706818	0.498199
0.857056	0.720398	0.510925
0.867828	0.733673	0.518890
0.878204	0.747894	0.530365
0.888245	0.760834	0.538635
0.897919	0.773499	0.546936
0.907166	0.785797	0.555511
0.916046	0.798126	0.560944
0.924500	0.810455	0.568573
0.932556	0.823090	0.579712
0.940186	0.834778	0.588654
0.947388	0.845856	0.595001
0.954132	0.856598	0.601685
0.960449	0.867645	0.610931
0.966309	0.877136	0.616974
0.971710	0.886932	0.623352
0.976685	0.895752	0.627502
0.981140	0.905548	0.634491
0.985168	0.913788	0.638641
0.988708	0.921356	0.647552
0.991760	0.928955	0.652649
0.994354	0.935883	0.654236
0.996460	0.943146	0.658051
0.998077	0.949158	0.666016
0.999207	0.954865	0.671448
0.999847	0.961182	0.670471
1.000000	0.965607	0.673035
0.999664	0.970001	0.680023
0.998840	0.973816	0.681946
0.997528	0.977600	0.686737
