FORCE/DISPLACEMENT CLAMP EXPERIMENT 
 9/16/2014 
 
 Experiment Name: 	 Default 
 Cantilever ID #: 	 Default 
 Sampling rate (Hz): 	 1000 
 Actuation Mode: 	 Disp. Clamp 
 
 Set Point (um) 	 Actuator Position (um) 	 Piezo Position (um) 
0.000000	-0.007629	93.708038
0.000000	-0.007629	93.532562
0.000000	-0.007629	93.708038
0.000000	0.000000	93.803406
0.000000	0.007629	93.803406
0.000000	0.000000	93.883514
0.000000	0.000000	93.915558
0.000000	0.016022	93.915558
0.000000	-0.007629	93.915558
0.000000	-0.007629	93.946838
0.000000	-0.007629	93.939209
0.000000	-0.007629	94.058228
0.000000	-0.007629	93.819427
0.000000	0.007629	93.986511
0.000000	-0.007629	94.113922
0.000000	0.000000	94.145966
0.000000	0.007629	94.050598
0.000000	-0.023651	94.026947
0.000000	0.000000	93.747711
0.000000	-0.016022	93.724060
0.000000	-0.016022	93.787384
0.000000	-0.016022	93.811798
0.000000	0.000000	93.740082
0.000000	0.000000	93.548584
0.000000	0.000000	93.564606
0.000000	0.000000	93.413544
0.000000	-0.023651	93.373871
0.000000	-0.007629	93.206024
0.000000	0.000000	93.198395
0.000000	-0.007629	93.246460
0.000000	0.007629	93.532562
0.000000	-0.007629	93.508911
0.000000	0.000000	93.540955
0.000000	0.007629	93.492889
0.000000	-0.016022	93.262482
0.000000	-0.016022	93.103027
0.000000	-0.023651	92.951202
0.000000	0.000000	93.126678
0.000000	0.000000	93.222046
0.000000	0.007629	93.333435
0.000000	0.007629	93.564606
0.000000	0.000000	93.787384
0.000000	0.007629	93.994904
0.000000	-0.023651	94.226074
0.000000	-0.007629	94.233704
0.000000	-0.007629	94.122314
0.000000	0.007629	94.233704
0.000000	-0.016022	94.265747
0.000000	0.000000	94.129944
0.000000	-0.007629	93.875122
0.000000	-0.007629	93.819427
0.000000	0.000000	93.795776
0.000000	-0.007629	93.708038
0.000000	-0.007629	93.684387
0.000000	0.000000	93.835449
0.000000	0.000000	93.883514
0.000000	0.007629	94.002533
0.000000	-0.007629	93.986511
0.000000	-0.007629	93.978882
0.000000	0.000000	93.946838
0.000000	0.000000	93.962860
0.000000	-0.023651	93.867493
0.000000	-0.016022	93.971252
0.000000	0.000000	93.939209
0.000000	-0.007629	94.002533
0.000000	0.000000	94.138336
0.000000	0.000000	94.329071
0.000000	-0.007629	94.393158
0.000000	-0.023651	94.242096
0.000000	-0.023651	94.194031
0.000000	-0.007629	94.154358
0.000000	-0.007629	94.002533
0.000000	0.000000	94.042969
0.000000	0.000000	93.994904
0.000000	0.007629	94.201660
0.000000	-0.007629	94.361115
0.000000	0.000000	94.281769
0.000000	-0.007629	94.194031
0.000000	-0.007629	94.353485
0.000000	0.016022	94.242096
0.000000	0.007629	94.305420
0.000000	0.016022	94.361115
0.000000	0.000000	94.329071
0.000000	-0.007629	94.170380
0.000000	-0.007629	94.233704
0.000000	-0.016022	94.185638
0.000000	-0.016022	94.170380
0.000000	-0.007629	94.106293
0.000000	0.000000	94.194031
0.000000	0.000000	94.170380
0.000000	0.000000	94.265747
0.000000	-0.007629	94.066620
0.000000	0.000000	94.074249
0.000000	-0.016022	93.962860
0.000000	-0.007629	93.867493
0.000000	0.000000	93.747711
0.000000	-0.007629	93.891144
0.000000	0.000000	93.930817
0.000000	0.016022	94.042969
0.000000	0.000000	94.018555
0.000000	-0.007629	93.867493
0.000000	-0.023651	93.930817
0.000000	0.000000	93.859100
0.000000	-0.007629	93.883514
0.000000	-0.016022	94.002533
0.000000	0.000000	93.946838
0.000000	0.007629	93.923187
0.000000	0.007629	93.811798
0.000000	-0.007629	93.955231
0.000000	0.007629	93.772125
0.000000	-0.016022	93.620300
0.000000	-0.007629	93.580627
0.000000	-0.007629	93.580627
0.000000	-0.007629	93.811798
0.000000	0.007629	94.010925
0.000000	0.000000	93.923187
0.000000	-0.007629	94.082642
0.000000	-0.016022	94.210052
0.000000	-0.016022	94.321442
0.000000	0.000000	94.210052
0.000000	-0.007629	94.289398
0.000000	0.000000	94.242096
0.000000	0.007629	94.210052
0.000000	0.007629	94.305420
0.000000	-0.007629	94.377136
0.000000	-0.007629	94.488525
0.000000	-0.023651	94.201660
0.000000	0.000000	94.050598
0.000000	-0.007629	93.939209
0.000000	0.000000	94.113922
0.000000	0.007629	94.170380
0.000000	0.000000	94.145966
0.000000	-0.016022	94.217682
0.000000	-0.007629	94.185638
0.000000	-0.016022	94.210052
0.000000	-0.007629	94.122314
0.000000	-0.016022	93.962860
0.000000	-0.007629	93.930817
0.000000	-0.007629	94.050598
0.000000	0.007629	94.297791
0.000000	0.000000	94.297791
0.000000	-0.007629	94.432831
0.000000	0.007629	94.400787
0.000000	-0.007629	94.337463
0.000000	-0.007629	94.257355
0.000000	-0.016022	94.329071
0.000000	0.000000	94.226074
0.000000	-0.007629	94.313049
0.000000	0.000000	94.201660
0.000000	0.007629	94.249725
0.000000	-0.016022	94.409180
0.000000	-0.007629	94.345093
0.000000	-0.023651	94.170380
0.000000	-0.023651	94.194031
0.000000	-0.007629	94.129944
0.000000	0.016022	94.313049
0.000000	0.000000	94.353485
0.000000	0.007629	94.425201
0.000000	-0.007629	94.321442
0.000000	-0.023651	94.242096
0.000000	-0.016022	94.066620
0.000000	-0.016022	94.122314
0.000000	-0.016022	94.082642
0.000000	-0.007629	94.281769
0.000000	0.016022	94.353485
0.000000	0.000000	94.409180
0.000000	0.007629	94.305420
0.000000	0.000000	94.480896
0.000000	-0.023651	94.265747
0.000000	-0.007629	94.194031
0.000000	-0.007629	94.170380
0.000000	0.000000	94.145966
0.000000	-0.007629	94.337463
0.000000	0.007629	94.456482
0.000000	0.000000	94.536591
0.000000	-0.016022	94.377136
0.000000	-0.023651	94.369507
0.000000	-0.016022	94.242096
0.000000	-0.016022	94.353485
0.000000	-0.016022	94.321442
0.000000	0.007629	94.273376
0.000000	0.007629	94.345093
0.000000	0.016022	94.313049
0.000000	0.000000	94.377136
0.000000	-0.016022	94.249725
0.000000	-0.007629	94.050598
0.000000	-0.016022	93.875122
0.000000	-0.016022	93.930817
