FORCE/DISPLACEMENT CLAMP EXPERIMENT 
 9/16/2014 
 
 Experiment Name: 	 Default 
 Cantilever ID #: 	 Default 
 Sampling rate (Hz): 	 1000 
 Actuation Mode: 	 Disp. Clamp 
 
 Set Point (um) 	 Actuator Position (um) 	 Piezo Position (um) 
0.000000	0.000000	92.943573
0.000000	-0.007629	92.823792
0.000000	0.000000	92.832184
0.000000	-0.016022	92.736816
0.000000	0.000000	92.895508
0.000000	0.000000	93.031311
0.000000	-0.007629	93.022919
0.000000	-0.023651	92.887878
0.000000	-0.016022	92.839813
0.000000	0.000000	92.927551
0.000000	0.007629	93.087006
0.000000	0.007629	93.031311
0.000000	0.007629	93.158722
0.000000	-0.016022	93.270111
0.000000	0.000000	93.214417
0.000000	0.000000	93.103027
0.000000	-0.007629	93.047333
0.000000	0.000000	92.903900
0.000000	0.000000	92.768097
0.000000	0.007629	92.768097
0.000000	-0.007629	92.823792
0.000000	0.000000	92.864227
0.000000	0.007629	92.911530
0.000000	-0.007629	92.823792
0.000000	-0.016022	92.736816
0.000000	-0.007629	92.800140
0.000000	0.000000	92.903900
0.000000	-0.016022	92.983246
0.000000	0.007629	93.070984
0.000000	0.000000	92.975616
0.000000	-0.023651	93.429565
0.000000	-0.007629	93.700409
0.000000	-0.016022	93.628693
0.000000	-0.007629	93.708038
0.000000	-0.007629	93.675995
0.000000	-0.007629	93.891144
0.000000	0.007629	93.564606
0.000000	0.007629	93.955231
0.000000	-0.007629	93.835449
0.000000	0.000000	93.740082
0.000000	-0.007629	93.325806
0.000000	-0.007629	93.524933
0.000000	-0.007629	93.421173
0.000000	-0.007629	93.580627
0.000000	0.000000	93.532562
0.000000	0.016022	93.604279
0.000000	0.007629	93.628693
0.000000	-0.016022	93.700409
0.000000	-0.007629	93.684387
0.000000	-0.016022	93.692017
0.000000	-0.007629	93.747711
0.000000	-0.007629	93.708038
